Input,Sentiment
"A couple months ago, I would have said I am completely burned out. So, I guess that is  progress.",Positive
Keep communicating with District employees regarding District changes or Board  decisions San Diego Water Authority.,Positive
Thank you for caring enough about Employees to send out this Survey. Many  companies don't do this.,Positive
The updates on the progress of the various large projects going on in the district and the  opportunity to give input to the development of upcoming / future projects is greatly  appreciated. Please continue to keep us updated and involved.,Positive
The District has been incredibly flexible with schedules to meet the additional needs  posed by COVID.,Positive
"In talking to other people about their workplaces, RMWD is doing as well or better in  responding to Covid-19. Our social tracking, notification and quarantine procedures are  better than most.",Positive
My personal and family life has never been better and that is because I work at RMWD  and it provides me the work life balance that I've longed for. Especially this year through  the pandemic and work from home/scheduling flexibility the District has offered. I  couldn't be more grateful for my job.,Positive
Great job.,Positive
Doing a good job.,Positive
Keep doing what you're doing.,Positive
Satisfied how GM is leading the district.,Positive
Keep being awesome.,Positive
Keep up the good work!,Positive
He is an excellent and very intelligent leader.,Positive
I am satisfied with the General Managers leadership.,Positive
Just keep on doing what he’s doing seems to be working.,Positive
I think Tom is doing a good job. He cares about our rate-payers and he supports  employees' commitments to their families.,Positive
"Tom - your care for our Community and Ratepayers is real and genuine and very much  respected. Please don't ever change that. I believe you also have a heck of a  Management Team! A Dream Team, if you ask me! (...no I am not a Manager) but  please take good care of the Management Team! They also deserve to be  acknowledged for their hard work..!",Positive
Continue doing what you are doing.,Positive
Keep up the good work.,Positive
Keep heading the right way. Make Rainbow a model other District's look up to. ,Positive
Continue to be transparent.,Positive
"I struggled to answer ""I trust my co-workers.” That is a ""somewhat agree"" for me because the statement is so generalized. I trust SOME, but not all. Primarily because I don't know them very well, so many are new and with 2020 we hardly get to know one another on a deeper level than just identifying who they are by name and ""hearing"" from the grapevine if they are great employees or not.",Negative
Communications between top management and employees could be improved and be  more free flowing.,Negative
"It'd be nice if managers make changes to processes and systems, if they'd follow up with  the employees affected to see how things are working out.",Negative
"I feel there is still a bit of a missing link in communication between departments partially  due to a desire for departments to ""get the credit"" for accomplishments.",Negative
Acknowledgments of good work & praise of individuals are based on the relationships they have with said individuals or who that individual has a relationship in Top Management.,Negative
Some managers are untrustworthy and do not provide proper responses.  ,Negative
Management in Field Operations is very knowledgeable and trustworthy. Top Management in the rest of the areas are very knowledgeable but NOT trustworthy. ,Negative
"I do agree I am somewhat acknowledged for a job well done, I can't disagree with that,  but It would be nice to receive genuine appreciation more on the spot or often.  ",Negative
Appreciation for a job well done is more often shared for new leadership team members  and their departments with new employees as opposed to the smaller departments with  seasoned employees who consistently work behind the scenes to support those  employees who are acknowledged.,Negative
"Keep it up in general, but the way you (the general manager) praise some departments  and make backhanded slights at others can be very demotivating. For example,  ""Engineers are Great, but Operations is where we get things done."" This is very  demotivating for an Engineering team that is working extremely hard and actually  accomplishing a lot.",Negative
Workload can get heavy. But other departments have been stepping up and helping out.,Negative
[There needs to be] accountability for toxic Employees who are ungrateful and always  look for something to complain or gossip about.,Negative
Work expectations are high at the expense of work/home life balance.,Negative
"Any stray from a perfect score here is due to ""locker room talk"" that I hear amongst  employees. I don't get the feeling that anyone is strongly hurt by the jokes I have heard,  but they have not been dealt with in a way that makes me think there is zero-tolerance  for it.",Negative
There is one toxic person in Admin whom I and some others avoid interacting with. She  seems to insert herself in matters that don't pertain to her and asks questions about why  certain people aren't in the office more. I know at least one high-risk employee has felt  pressured to come in more to avoid the passive-aggressive comments.,Negative
To act more professional including the language that is used during meetings. (referring  to top leadership),Negative
It's hard to keep up with the workload. It does take 11-hour days and weekends to get the job done.,Negative
Workload often does not permit on the job learning and growth.,Negative
Quantity of work and deadlines are overwhelming most times.,Negative
"My department has people with the right skills, but we are understaffed.    ",Negative
"Although it seems like there are never enough hours in the day to get everything done,  we know we can count on each other.",Negative
Invest in employees work life balance and that work goals/ expectations are realistic ,Negative
Work towards matching the workload with the philosophy of work life balance.    ,Negative
These kinds of statements make me feel unsupported in balancing my personal  responsibilities with my work responsibilities.,Negative
"I get a lot of ""I don't care if you get the work done in 4 hours or 9 hours as long as the  work is getting done"" as a play at the notion that one could achieve balance by working  extensively one day to earn time off later, but in reality there is always a backlog and  never a point where the work is done.",Negative
"I would say that management says things like, ""make sure to take time off and connect  with your family."" But when I have done that, I have been given feedback such as  ""weekends are for catching up on work"" or ""I deserve the respect of getting a response  no matter when I email you.""",Negative
"I have been given the advice that if I want time with my family, I should just sleep less.",Negative
"Add to Construction's fleet: Add another 5 yard dump truck and trailer and a skid steer  with multiple attachments (sweeper, asphalt grinder, flat and teeth bucket); and add a  third utility truck.",Negative
Keep open minded/ listen to the employees Ideas they might have.,Negative
"There is a notion that the Engineering Team should be persistent at pulling information  and gathering comments from the Operations Department, which is great! But the folks  in Operations need to be given the time to make comments and review the work  Engineering is doing for that actually to be accomplished. The delay in getting comments  out of Operations has halted many projects and made it very difficult to meet design  schedules and Developer expectations. This is another example where the intention is  GREAT, but the time needed to accomplish the intention is not being given.",Negative
Be more aware of the way daily and routine matters are handled by leadership and not just the big ticket stuff.,Negative
"No succession plan is taken seriously enough. It's been a tough year. With a lot of  regular work, projects, and COVID it's hard not to have some burnout.",Negative
There are clear and specific deficiencies in some departments that are clearly  overlooked due to the relationships that the individuals in that department have with Top  Management.,Negative
Learn more about what each role contributes to the operations of the district and  encourage team members to help by learning how to do things other than their normal  routine by thinking outside the box-don't leave it for others to do because they don't  know how or why.,Negative
"When evaluating a position to look past the relationship they have with the individual in  that position. Are they in that position to please Top Management or anyone that exerts  influence in that department. Are the duties of that position being fulfilled, etc?",Negative
Continue listening to fresh ideas and trying new methods for completing tasks.  ,Negative
Ideas or concerns are treated as irrelevant and unimportant.,Negative
It would be nice to see him out in the field more often. comradery wise.  ,Negative
Be more open minded.,Negative
Trust his appointed Leaders. Trust the Managers and Supervisors on how they see their  subordinates. They work with these individuals on a daily basis. The General Managers  perceived bad experiences or great experiences with an individual does not take away  the validity of the Managers/Supervisor's point of view of their subordinates.,Negative
I've only had two one-on-one meetings in the past year. They weren't performed even on  zoom.,Negative
"I thought we are all one team and have to work together to successfully reach our goals.  However, I was also told that I received a satisfactory evaluation as opposed to  something better for teamwork because I helped other departments too much. This is  confusing messaging from upper management. Should I understand that if I want to go  above and beyond in teamwork, I should do less of it?",Negative
I feel that the tasks that stretch me and help me learn and grow have slowly been  removed from my position over the last couple years.,Negative
"While most coworkers take COVID seriously, there are a few who wear their masks  incorrectly (let it fall below the nose), or walk around and socialize (unnecessary  contact), or who take risks outside of work that could put the rest of us at greater risk. I wish they wouldn't do that.",Negative
In recent years older employees have been pushed to retire earlier than desired by the  employee.,Negative
